"4932414N04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4932438A13Rik"	"GO:0001558;GO:0003674;GO:0005634;GO:0006629;GO:0007283;GO:0016020;GO:0016021;GO:0019915;GO:0045444;GO:0051647;GO:0060612"
"4932438H23Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933402D24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933402N03Rik"	"GO:0000151;GO:0003674;GO:0005634;GO:0008150"
"4933405L10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933406M09Rik"	"GO:0006491;GO:0008454"
"4933406P04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933407L21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933408B17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933408J17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933411K16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933413G19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933415A04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933425L06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933427D14Rik"	"GO:0003674;GO:0005737;GO:0005813;GO:0005856;GO:0007099;GO:0034451;GO:0071539"
"4933427I04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933428G20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933430I17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4933434E20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5031439G07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5330417C22Rik"	"GO:0000045;GO:0005764;GO:0005768;GO:0005770;GO:0005794;GO:0005802;GO:0005886;GO:0005887;GO:0006914;GO:0009267;GO:0016020;GO:0016021;GO:0044090;GO:0044822;GO:0070062;GO:2000786"
"5430403G16Rik"	"GO:0003700;GO:0005575;GO:0006355"
"5430427O19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5730409E04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5730455P16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5730507C01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5730508B09Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"5730522E02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5730559C18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5830411N06Rik"	"GO:0002365;GO:0003674;GO:0009897;GO:0032620"
"5830454E08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"5930422O12Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6030419C18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6030445D17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6030458C11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6030468B19Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"6030498E09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6330408A02Rik"	"GO:0002244;GO:0005634;GO:0005737;GO:0006511;GO:0006915;GO:0007275;GO:0016567;GO:0042787;GO:0043161;GO:0061630"
"6330409D20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6430531B16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6430548M08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6430550D23Rik"	"GO:0001574;GO:0003836;GO:0009311;GO:0018279"
"6430571L13Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"6430573F11Rik"	"GO:0000049;GO:0002098;GO:0005634;GO:0005737;GO:0008033;GO:0008152;GO:0008168;GO:0008175;GO:0008198;GO:0016300;GO:0016706;GO:0016740;GO:0032259"
"6720489N17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"6820408C15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"7530416G11Rik"	"GO:0003674;GO:0005575;GO:0008150"
"8030462N17Rik"	"GO:0003674;GO:0005575;GO:0008150"
"8430408G22Rik"	"GO:0003674;GO:0005737;GO:0005739;GO:0008150"
"9030612E09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9030617O03Rik"	"GO:0003674;GO:0005739;GO:0008150"
"9030624G23Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9030624J02Rik"	"GO:0003674;GO:0005768;GO:0006810;GO:0006893;GO:0015031;GO:0016020;GO:0016021"
"9130008F23Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9130011E15Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"9130019O22Rik"	"GO:0000977;GO:0003700;GO:0006355"
"9130023H24Rik"	"GO:0003700;GO:0005575;GO:0006355"
"9130213A22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9130401M01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9130409I23Rik"	"GO:0005575;GO:0042284;GO:0046513"
"9230109A22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9230110C19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9330151L19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9330159F19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9330161L09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9330182L06Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"9430015G10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9430020K01Rik"	"GO:0003674;GO:0005911;GO:0007155;GO:0008150;GO:0030054"
"9430038I01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9530003J23Rik"	"GO:0003796;GO:0005615;GO:0016998;GO:0050829;GO:0050830"
"9530068E07Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"9530077C05Rik"	"GO:0003674;GO:0005575;GO:0008150"
