"gene","lfc","padj","tissue","comparison"
"Arhgef10",3.77949664830337,0.0109279629321346,"DG","home.cage-standard.yoked"
"Arhgef15",2.46913635051679,0.098517604436093,"DG","home.cage-standard.yoked"
"Arhgef25",0.856456296981634,0.0450178321122333,"DG","home.cage-standard.yoked"
"Arl15",1.94424434829777,0.0287810247027275,"DG","home.cage-standard.yoked"
"Arl8b",1.34787039081436,0.0801072202015884,"DG","home.cage-standard.yoked"
"Armc8",1.15368100646522,0.062595401167678,"DG","home.cage-standard.yoked"
"Armc9",2.30439528837814,0.001156817949502,"DG","home.cage-standard.yoked"
"Armt1",2.495766291882,0.0032053901321556,"DG","home.cage-standard.yoked"
"Arnt2",-1.18244206679982,0.0298056143622836,"DG","home.cage-standard.yoked"
"Arntl",3.64296921662791,6.08930806559954e-06,"DG","home.cage-standard.yoked"
"Arpc3",1.74679650460238,0.0116531582503457,"DG","home.cage-standard.yoked"
"Arpp19",1.70343485130304,0.0361472195786791,"DG","home.cage-standard.yoked"
"Arr3",-4.33783409626168,0.0640932018410695,"DG","home.cage-standard.yoked"
"Arsg",-3.89653826148451,0.0859548110207564,"DG","home.cage-standard.yoked"
"Arv1",-3.18954801501651,0.0748526139177719,"DG","home.cage-standard.yoked"
"Asic2",1.3980476789075,0.0606552178131533,"DG","home.cage-standard.yoked"
"Asl",2.51770005340363,0.0692768943854845,"DG","home.cage-standard.yoked"
"Asxl3",3.23683479019795,0.00129728228870421,"DG","home.cage-standard.yoked"
"Atat1",-2.3331578065879,0.0348542806349833,"DG","home.cage-standard.yoked"
"Atf3",2.39223597281147,0.0665285671210602,"DG","home.cage-standard.yoked"
"Atf7ip",2.35719345963254,0.00263914310831664,"DG","home.cage-standard.yoked"
"Atp13a1",1.24356950293296,0.0653204302275546,"DG","home.cage-standard.yoked"
"Atp6ap1",1.27532651859776,0.0642752297809421,"DG","home.cage-standard.yoked"
"Atp6v0d1",2.01354594410122,0.00156076328979684,"DG","home.cage-standard.yoked"
"Atrn",-0.843887664028542,0.091109488421826,"DG","home.cage-standard.yoked"
"Atxn7",2.21806997486473,0.00690595625165681,"DG","home.cage-standard.yoked"
"AU022252",2.39183361025771,0.00204425935872415,"DG","home.cage-standard.yoked"
"AU040320",1.18271627101912,0.0303726570433627,"DG","home.cage-standard.yoked"
"Axl",2.36070834057735,0.0317350207414468,"DG","home.cage-standard.yoked"
"Azi2",1.78501799204396,0.0209798349015601,"DG","home.cage-standard.yoked"
"B3galnt2",1.9141996770993,0.0393743594836782,"DG","home.cage-standard.yoked"
"B3glct",5.68548336852015,4.12523429836295e-06,"DG","home.cage-standard.yoked"
"B3gntl1",-4.09842610975319,0.0591997575658448,"DG","home.cage-standard.yoked"
"B930094E09Rik",6.46106381851937,0.0451433728563963,"DG","home.cage-standard.yoked"
"Banp",1.48178105499869,0.0394300897146945,"DG","home.cage-standard.yoked"
"Bbip1",2.42596587024106,0.0151127690040257,"DG","home.cage-standard.yoked"
"BC004004",3.1886765892313,0.00111288857820864,"DG","home.cage-standard.yoked"
"BC030336",1.42495192118567,0.0248107691431567,"DG","home.cage-standard.yoked"
"BC034090",-4.19859813273945,0.082233840857791,"DG","home.cage-standard.yoked"
"BC068281",5.46498227268712,0.00101735310780129,"DG","home.cage-standard.yoked"
"Bcas1",3.07254592505028,0.0012913451398623,"DG","home.cage-standard.yoked"
"Bcas2",2.22519876097728,0.0303726570433627,"DG","home.cage-standard.yoked"
"Bcas3",1.84598764811061,0.0585273521742533,"DG","home.cage-standard.yoked"
"Bckdhb",1.77551717512189,0.071275808653028,"DG","home.cage-standard.yoked"
"Bcl11a",1.56502693696667,0.0605509964785913,"DG","home.cage-standard.yoked"
"Bean1",3.91374736064536,0.0686365258267059,"DG","home.cage-standard.yoked"
"Becn1",1.25711374380956,0.041778906032811,"DG","home.cage-standard.yoked"
"Bend6",2.09458098055677,0.00374066710278701,"DG","home.cage-standard.yoked"
"Best3",5.16082075798993,0.00339191462741771,"DG","home.cage-standard.yoked"
"Bivm",2.1674334985761,0.0656730822088646,"DG","home.cage-standard.yoked"
"Blnk",4.72553020527903,0.00100930218595412,"DG","home.cage-standard.yoked"
"Bloc1s3",-3.42737287163369,0.0861960985594729,"DG","home.cage-standard.yoked"
"Bmp2k",-2.39501361062447,0.0910424929648113,"DG","home.cage-standard.yoked"
"Bod1l",-1.39323059722633,0.0915669233427624,"DG","home.cage-standard.yoked"
"Bok",2.19485017569264,0.041778906032811,"DG","home.cage-standard.yoked"
"Brap",1.21205115875075,0.0813668270781573,"DG","home.cage-standard.yoked"
"Bri3bp",-1.56776823326146,0.0278373994643242,"DG","home.cage-standard.yoked"
"Brinp3",4.09632215131904,0.00191356204007798,"DG","home.cage-standard.yoked"
"Brsk1",1.08585835141072,0.0672333289957777,"DG","home.cage-standard.yoked"
"Btbd1",1.75349509995139,0.00360578607370072,"DG","home.cage-standard.yoked"
"Btf3",1.37219984433397,0.0252906949159214,"DG","home.cage-standard.yoked"
"Btg2",2.59279453622361,0.0138860192231421,"DG","home.cage-standard.yoked"
