"","row","column","cor","p","padj"
"144","ALDH1L1","GJB6",-0.483560242794995,0.0577395200643669,0.237621988866171
"145","CFL1","PTPRS",-0.482835241167456,0.0581707763227581,0.237621988866171
"146","TNXB","PNN",-0.481770242512637,0.0588085722586213,0.237621988866171
"147","CAMK2A","EGFR",0.481392301456748,0.0590361430396189,0.237621988866171
"148","PIN1","CFL1",0.481276544385642,0.0591059737011652,0.237621988866171
"149","TNC","ALDH1A1",0.478813900724133,0.0606060167187037,0.242017315084756
"150","LIMK1","CFL1",0.477226426926054,0.061587691980709,0.243566551851828
"151","LIMK1","GJB6",-0.476560925265916,0.0620026842131116,0.243566551851828
"152","GRIA2","PTPRS",0.47595038573267,0.0623852048701641,0.243566551851828
"153","CFL1","GJB6",-0.475558887512272,0.0626313990476128,0.243566551851828
"154","CFL1","GABRA1",-0.471982781065854,0.0649133264836876,0.250801488686975
"155","IGF2","GABRA1",0.471149822444991,0.0654534600868515,0.251256830655978
"156","CFL1","TNXB",-0.469727168285418,0.0663835723722959,0.252490108572639
"157","PRKCB","IGF2",0.469362642690542,0.0666234404132846,0.252490108572639
"158","IGF2BP2","LAMB1",-0.465737239680058,0.0690436269709935,0.260006063593298
"159","IGF2","ALDH1L2",0.463536342308781,0.0705437548745456,0.263984491511664
"160","GABRA1","EGFR",0.460305835993085,0.0727884135721089,0.270376598623202
"161","ALDH1A1","ALDH1L1",-0.45977702664387,0.0731607266862782,0.270376598623202
"162","EGFR","ALDH1A1",0.454941401985633,0.0766296347148319,0.281448349724228
"163","GABRA1","GFAP",0.453639982997118,0.077583196352041,0.283202465211438
"164","ALDH1L1","ALDOC",-0.448796276826259,0.0812076105751964,0.29462517251367
"165","LIMK1","ROCK2",-0.446481172340647,0.0829823257328628,0.298587904132327
"166","IGF2","LAMA1",0.446065995706762,0.0833035161108677,0.298587904132327
"167","PC1","LAMB1",0.444765931666971,0.084315053787825,0.299367979525714
"168","IGF2","AQP4",0.444494403005175,0.0845274295131428,0.299367979525714
"169","WWC1","PRKCB",-0.443443482677531,0.0853530244412095,0.300503251730886
"170","CFL1","ROCK2",-0.44198537075974,0.0865080620119385,0.302738286122512
"171","PRKCI","SLC1A2",0.440600141430971,0.0876156974040057,0.302738286122512
"172","GABRA1","GJB6",0.440501395881067,0.0876950403664911,0.302738286122512
