Year,ID,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,       filename,p-miss ,TotalTime(s),TotalPath(Arena),Speed (Arena),sd Speed(Arena),Linearity(Arena),TotalPath(m),#Entrances,Time1stEntr,Path1stEntr,Speed1stEntr(cm/s),Entr/Dist(1/m),#Shock,Time1stShock,Path1stShock,Speed (cm/s),SdSpeed,Linearity,MaxTimeAvoid,MaxPathAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW  ,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50%RngLoBin    ,Min50%RngHiBin    ,PolarMaxVal,PolarMaxBin,Max50%RngLoBin    ,Max50%RngHiBin    ,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis
2013,bl7,WT,2-day,train,trained,1,T1,On,N/A,JuanMarcos,AnimalRoom,MBL,bl7D1Train1_Room_Train,0.00006,600,14.11,2.35,2.63,0.3401,17.09,4,83.37,2.21,9.39,0.23,4,83.37,2.21,2.85,2.57,0.5889,335,4.16,86.67,2.44,4.56,3.566,0.009,0.1302,0.7307,0.1301,0.7,180.09,259.33,49.88,3.00E-04,320,210,160,0.087,170,150,230,8.00E-04,19.4,0.3389,16.6,14.77,18.16,1.82,6.86
2013,bl7,WT,2-day,train,trained,1,T2,On,N/A,JuanMarcos,AnimalRoom,MBL,bl7D1Train2_Room_Train,0.00056,600,10.58,1.76,2.63,0.2404,15.73,1,55.10,1.32,2.65,0.06,1,55.1,1.32,2.62,2.68,0.6764,544,1.32,599.97,15.73,-1,0.9,0.0022,0.1744,0.7271,0.0963,0.71,175.98,262.72,47.4,0,0,210,160,0.0891,170,140,220,0.0021,8.5,0.4532,16.6,17.17,10.01,3.9,36.05
2013,bl7,WT,2-day,train,trained,1,T3,On,N/A,JuanMarcos,AnimalRoom,MBL,bl7D1Train3_Room_Train,0.00000,600,11.89,1.98,2.51,0.2864,15.47,0,599.97,15.47,-1,0,0,599.97,15.47,2.58,2.36,0.6276,599,15.47,599.97,15.47,-1,0,0,0.1175,0.822,0.0605,0.79,176.71,264.99,40.07,0,0,200,160,0.1128,180,150,220,0.0015,3.5,0.4642,16.6,16.73,7.72,2.37,18.93
2013,bl7,WT,2-day,train,trained,2,Retest,On,N/A,JuanMarcos,AnimalRoom,MBL,bl7D2Retest_Room_Train,0.00178,600,17.29,2.88,3.85,0.2987,20.08,5,0.53,0,-1,0.25,5,0.53,0,3.35,3.79,0.5518,255,8.91,30,1.85,12.75,8.901,0.0206,0.0799,0.8205,0.079,0.76,178.19,258.4,46.57,8.00E-04,300,200,170,0.1257,190,150,210,6.00E-04,8.5,0.5611,16.6,16.36,7.88,0.76,4.83
2013,bl8,WT,2-day,N/A,control,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl8D1Hab_Room_Control,0.00000,600,19.04,3.17,2.85,0.4503,19.89,18,0.53,0,-1,0.91,46,0.53,0,3.31,2.61,0.6193,106,4.12,22.77,1.06,5.45,87.931,0.2162,0.3409,0.2867,0.1563,0.24,121.42,196.28,88.21,0.009,320,180,60,0.0496,120,50,200,0.0036,19.4,0.2896,13.2,14.17,19.64,1.47,6.03
2013,bl8,WT,2-day,N/A,control,1,T1,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl8D1Train1_Room_Control,0.00000,600,12.76,2.13,2.17,0.3276,15.14,25,16.83,0.35,2.32,1.65,100,16.83,0.35,2.52,1.98,0.6364,69,1.79,33.17,0.74,10.39,195.567,0.4919,0.3688,0.0593,0.0801,0.52,32.64,138.93,69.47,0.0037,260,70,0,0.0669,50,350,90,0.0178,19.4,0.2591,13.2,14.49,18.81,0.65,3.48
2013,bl8,WT,2-day,N/A,control,1,T2,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl8D1Train2_Room_Control,0.00000,600,10.15,1.69,1.85,0.2745,14.26,23,7.13,0.13,2.04,1.61,95,7.13,0.13,2.38,1.73,0.6451,97,2.4,28.27,0.7,12.52,189.464,0.4769,0.2218,0.1349,0.1664,0.36,14.58,150.85,88.15,0.0074,130,60,340,0.0765,30,330,80,0.0057,3.5,0.3135,15,16.18,11.52,2.04,11.03
2013,bl8,WT,2-day,N/A,control,1,T3,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl8D1Train3_Room_Control,0.00000,600,4.78,0.80,1.21,0.1423,13.82,13,30.20,0.62,2.25,0.94,53,30.2,0.62,2.3,1.66,0.757,72,1.71,74.7,1.75,1.69,98.3,0.24,0.296,0.2362,0.2278,0.07,73.33,179.6,100.36,0.0236,300,170,20,0.0454,80,310,130,2.00E-04,8.5,0.4631,18,16.83,8.16,1.15,4.62
2013,bl8,WT,2-day,N/A,control,2,Retest,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl8D2Retest_Room_Control,0.00000,600,14.93,2.49,2.57,0.3381,18.50,22,0.53,0,-1,1.19,54,0.53,0,3.08,2.47,0.6737,69,1.92,11.5,0.21,3.43,106.833,0.2726,0.2666,0.1464,0.3144,0.17,343.22,149.84,99.33,0.0123,200,50,280,0.0522,310,240,30,0.016,3.5,0.2468,15,14.94,17.83,1.11,4.81
2013,bl9,WT,2-day,train,trained,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl9D1Hab_Room_Train,0.00000,600,26.94,4.49,3.70,0.538,28.81,23,25.13,1.63,11.76,0.8,41,25.13,1.63,4.8,3.69,0.6401,62,3.51,45.7,2.7,7.96,73.667,0.1882,0.2644,0.2319,0.3155,0.14,221.04,199.79,106.74,0.0145,150,0,220,0.0578,240,180,350,0.0062,18,0.2861,15,12.98,21.47,1.3,4.15
2013,bl9,WT,2-day,train,trained,1,T1,On,N/A,JuanMarcos,AnimalRoom,MBL,bl9D1Train1_Room_Train,0.00000,600,12.48,2.08,2.77,0.3125,15.33,4,0.53,0,-1,0.26,4,0.53,0,2.56,2.61,0.6125,237,5.31,59.3,1.38,1.56,4.598,0.0116,0.296,0.558,0.1344,0.57,162.62,240.85,61.57,4.00E-04,0,210,140,0.082,170,100,200,0.0339,18,0.3243,15,14.3,18.19,1.89,6.92
2013,bl9,WT,2-day,train,trained,1,T2,On,N/A,JuanMarcos,AnimalRoom,MBL,bl9D1Train2_Room_Train,0.00000,600,11.12,1.85,2.42,0.3012,14.74,3,21.63,0.44,1.54,0.2,3,21.63,0.44,2.46,2.35,0.6432,333,7.8,65.13,1.43,2.1,2.966,0.0078,0.1176,0.5748,0.2998,0.66,202.3,266.35,57.7,2.00E-04,0,240,190,0.088,230,170,250,0.004,3.5,0.4417,16.6,15.54,10.42,2.14,11.78
2013,bl9,WT,2-day,train,trained,1,T3,On,N/A,JuanMarcos,AnimalRoom,MBL,bl9D1Train3_Room_Train,0.00000,600,10.51,1.75,2.69,0.2666,13.75,0,599.97,13.75,-1,0,0,599.97,13.75,2.29,2.26,0.6574,599,13.75,599.97,13.75,-1,0.433,0.0011,0.0684,0.5823,0.3483,0.7,206.75,264.64,56.58,1.00E-04,0,220,170,0.0876,220,170,250,0.006,3.5,0.4464,16.6,15.7,11.24,2.51,13.71
2013,bl9,WT,2-day,train,trained,2,Retest,On,N/A,JuanMarcos,AnimalRoom,MBL,bl9D2Retest_Room_Train,0.00006,600,13.12,2.19,2.78,0.3185,16.18,2,42.87,1.29,12.44,0.12,2,42.87,1.29,2.7,2.72,0.6134,314,7.19,285.2,8.91,10.16,2.433,0.0063,0.1189,0.5655,0.3094,0.66,204.42,266.48,58.27,2.00E-04,0,240,190,0.1025,220,180,260,0.007,3.5,0.4719,16.6,15.79,11.29,2.43,11.93
