"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","145A-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Cd19",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.95546405847215,5.79792097911291,5.79792097911291,5.79792097911291
"Cd1d1",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.38365492525982,5.79792097911291,6.07693045650159,6.04309649571116
"Cd200",7.94424203083956,7.28943145225902,8.2317869446337,7.89378628633096,7.72049876719398,7.74610527607146,7.63683332856834,7.90406813471171,7.60288598243154,7.40081821068152,8.03890605015849,7.85938555214919,8.0797912276987
"Cd200r2",6.00266189302359,5.79792097911291,5.79792097911291,6.03851180696521,5.97322132464596,5.79792097911291,6.08221192150798,6.04910969117149,6.31900491233612,6.21350951805768,6.30961371797037,5.79792097911291,5.79792097911291
"Cd200r3",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.16737868529507,5.79792097911291,6.17114505901687,5.79792097911291,6.04309649571116
"Cd200r4",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.99818610328899
"Cd209c",6.4561892013672,6.61998239225951,6.61842278675229,6.4301316464168,6.57301478134742,6.91947305077529,6.33998374420797,6.43397438820465,6.60194375180521,6.57654359769345,6.9922221244434,6.51212806958075,6.17183617358393
"Cd22",6.29735509414656,6.21310074711845,6.06053473843515,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.09985557890259,5.99082321164452,5.79792097911291,6.02584932680394,6.11418856171014
"Cd226",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.97322132464596,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.1499084072503,5.79792097911291,5.79792097911291
"Cd244",5.79792097911291,6.21310074711845,6.25153872094999,5.79792097911291,5.97322132464596,5.79792097911291,6.19932390637337,5.79792097911291,5.79792097911291,5.90934841974363,5.79792097911291,5.79792097911291,5.99818610328899
"Cd247",5.79792097911291,6.51219978787452,6.38195803397133,6.21367939312316,5.97322132464596,5.79792097911291,5.79792097911291,6.19433878485403,6.34004011068628,6.36262109505156,6.22848608738038,6.11992687137053,6.11418856171014
"Cd248",6.29735509414656,6.51219978787452,6.25153872094999,6.13777583631765,6.55383120923871,5.79792097911291,6.52541301907359,6.19433878485403,5.94909477508876,6.48737846054642,6.01380191826847,6.19188989760723,6.14423682194042
"Cd24a",6.39115103340929,5.79792097911291,6.16880374796255,6.51318214423329,6.32127130520305,6.45615448321674,6.31503046201082,6.04910969117149,5.79792097911291,6.47864431614777,5.79792097911291,5.95917437673526,6.41105061977743
"Cd27",5.79792097911291,5.79792097911291,6.06053473843515,5.79792097911291,6.22600934735641,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.99082321164452,6.67526956602875,5.79792097911291,6.04309649571116
"Cd274",5.79792097911291,6.38308265537795,5.79792097911291,6.03851180696521,5.79792097911291,7.0045905035685,6.50735933102665,5.97565024682105,6.24980044309452,6.18286993285015,6.21028215568731,5.79792097911291,6.36122610127952
"Cd276",6.39115103340929,5.79792097911291,6.43684494962567,6.68512652022891,6.34924947171264,5.79792097911291,6.85234562082027,6.6388637663606,6.41675655944807,6.49599525105774,6.4859888750294,6.57874428070402,6.63640519711675
"Cd2ap",6.71041665834344,6.79825293427866,6.48711914429975,7.25817737343042,6.80042601164352,6.60070257844287,7.1348377595604,7.09633016940974,7.35080040423586,7.16873269319783,6.95661596889766,6.87855397751382,6.9447244844064
"Cd2bp2",7.98516122679543,7.73270598568828,8.09659152347762,8.21055088786268,8.16582968971084,7.82826929346694,8.35737352461117,8.05629734608216,7.70709163818051,8.2247506994774,8.27073002241979,8.10899526139267,7.98049482743766
"Cd300a",6.04857148034713,6.79825293427866,7.04686957512864,5.79792097911291,6.26002946404218,6.26536257807974,6.48879559383188,6.54409459673837,6.16737868529507,6.72748581048101,6.63237175083448,6.27969139211514,6.26590698445161
"Cd300c2",6.12123949132449,6.38308265537795,6.57733709709349,6.21367939312316,6.10117829047018,5.79792097911291,6.19932390637337,5.79792097911291,5.79792097911291,6.22799069013637,6.21028215568731,6.11992687137053,5.79792097911291
"Cd300ld",6.04857148034713,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.26536257807974,5.9622333015132,6.10536968899937,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"Cd300ld3",5.79792097911291,5.79792097911291,5.79792097911291,6.13777583631765,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.99818610328899
"Cd300ld5",5.79792097911291,5.79792097911291,5.79792097911291,6.13777583631765,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"Cd300lf",5.79792097911291,6.51219978787452,5.79792097911291,6.03851180696521,5.97322132464596,6.26536257807974,5.9622333015132,6.04910969117149,5.94909477508876,5.79792097911291,5.92263737706101,5.79792097911291,5.79792097911291
"Cd300lg",6.18015868991783,6.61998239225951,6.16880374796255,5.79792097911291,6.14787876397264,5.79792097911291,5.79792097911291,6.10536968899937,5.79792097911291,6.04683340025791,5.92263737706101,5.95917437673526,5.93958660595551
"Cd302",6.54252647170037,7.13166684726481,6.06053473843515,6.33344226761965,6.55383120923871,6.60070257844287,6.85234562082027,6.38372248186076,6.19680057265716,6.54545593543583,6.32428826936165,6.30549265221265,6.42673423028301
"Cd320",6.67743204432451,7.07342074871035,7.04686957512864,6.90065878241931,7.00291159195842,6.26536257807974,6.92021584041698,6.85582799787156,6.84428457417044,6.85473143034421,6.55813798569872,6.78604476894869,6.84478386964136
"Cd33",6.35561876365576,6.61998239225951,6.94364171322764,6.21367939312316,6.04568107033321,5.79792097911291,6.50735933102665,6.79931924351579,6.46825388324829,6.7149076480678,6.32428826936165,6.25237071273043,6.28652382987929
"Cd34",6.44058521629575,7.23933856488408,7.14048955769022,6.68512652022891,6.86860417565293,7.22382484024835,6.23125473632032,5.97565024682105,6.51582681477711,6.9565476887697,6.82716120099985,6.56268222169983,6.6587313479393
"Cd36",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.10536968899937,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.93958660595551
"Cd37",5.79792097911291,6.21310074711845,6.43684494962567,6.13777583631765,6.32127130520305,5.79792097911291,6.38658562481648,6.35680452749698,6.05952294059436,6.07052348116682,6.73938956177652,5.95917437673526,6.22156488840593
"Cd38",6.63116817770828,6.94576718543064,6.32100404828009,7.01326038037562,6.67859341927627,7.460968647593,6.86401247559527,6.45758207855281,6.73775838294006,7.00822258838577,6.5868764471116,6.30549265221265,6.42673423028301
"Cd3d",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.10117829047018,5.79792097911291,6.08221192150798,5.79792097911291,5.79792097911291,6.14950243147828,6.04712153062895,6.25237071273043,5.99818610328899
