"","gene","padj","tissue","comparison"
"229","Entpd7",0.0576381661407861,"CA1","consistent-yoked_consistent"
"230","Epha6",0.0198423164369525,"CA1","consistent-yoked_consistent"
"231","Erbb4",0.014925826534419,"CA1","consistent-yoked_consistent"
"232","Erbin",0.0439117967232988,"CA1","consistent-yoked_consistent"
"233","Ercc6",0.0253205032511947,"CA1","consistent-yoked_consistent"
"234","Eri3",0.0926108464017599,"CA1","consistent-yoked_consistent"
"235","Erich3",0.0475602920475161,"CA1","consistent-yoked_consistent"
"236","Esrrg",0.0896130020372893,"CA1","consistent-yoked_consistent"
"237","Esyt1",0.0935650874606001,"CA1","consistent-yoked_consistent"
"238","Ets1",0.0641342646026267,"CA1","consistent-yoked_consistent"
"239","Exoc1",0.0186831865899933,"CA1","consistent-yoked_consistent"
"240","Exoc6b",0.0778003736291283,"CA1","consistent-yoked_consistent"
"241","Exosc1",0.0514338384452124,"CA1","consistent-yoked_consistent"
"242","Ext1",0.0798342297068409,"CA1","consistent-yoked_consistent"
"243","Fam102b",0.0453744761274538,"CA1","consistent-yoked_consistent"
"244","Fam110b",0.066775644011548,"CA1","consistent-yoked_consistent"
"245","Fam114a2",0.0873729434792686,"CA1","consistent-yoked_consistent"
"246","Fam131a",0.0310232400212471,"CA1","consistent-yoked_consistent"
"247","Fam168a",0.0310232400212471,"CA1","consistent-yoked_consistent"
"248","Fam171a2",0.0388150601194185,"CA1","consistent-yoked_consistent"
"249","Fam19a2",0.0388252446259294,"CA1","consistent-yoked_consistent"
"250","Fam20b",0.0924829393301231,"CA1","consistent-yoked_consistent"
"251","Fam220a",0.0356779182900007,"CA1","consistent-yoked_consistent"
"252","Fam53c",0.0509805426501455,"CA1","consistent-yoked_consistent"
"253","Fam63a",0.0983993086123908,"CA1","consistent-yoked_consistent"
"254","Fam63b",0.0912747736592157,"CA1","consistent-yoked_consistent"
"255","Fam69a",0.062104329072406,"CA1","consistent-yoked_consistent"
"256","Fan1",0.0514338384452124,"CA1","consistent-yoked_consistent"
"257","Fanci",0.0568853014070555,"CA1","consistent-yoked_consistent"
"258","Fat1",0.0475602920475161,"CA1","consistent-yoked_consistent"
"259","Fbn1",0.0711242070972115,"CA1","consistent-yoked_consistent"
"260","Fbxl6",0.0997726509440177,"CA1","consistent-yoked_consistent"
"261","Fbxo30",0.0928748081076479,"CA1","consistent-yoked_consistent"
"262","Fbxo32",0.0235464448354963,"CA1","consistent-yoked_consistent"
"263","Fbxo44",0.0658135996196911,"CA1","consistent-yoked_consistent"
"264","Fbxo6",0.0466458124961876,"CA1","consistent-yoked_consistent"
"265","Fgd4",0.0614755474785656,"CA1","consistent-yoked_consistent"
"266","Fgd5",0.0724090939958483,"CA1","consistent-yoked_consistent"
"267","Fgfr2",0.0773066859115259,"CA1","consistent-yoked_consistent"
"268","Filip1",0.0642909082234129,"CA1","consistent-yoked_consistent"
"269","Fkbp8",0.0406498630265697,"CA1","consistent-yoked_consistent"
"270","Flrt1",0.0614755474785656,"CA1","consistent-yoked_consistent"
"271","Flt1",0.0480618790741287,"CA1","consistent-yoked_consistent"
"272","Fmn1",0.0536646039275641,"CA1","consistent-yoked_consistent"
"273","Fmnl3",0.0770488874418785,"CA1","consistent-yoked_consistent"
"274","Fn3krp",0.0992361379402916,"CA1","consistent-yoked_consistent"
"275","Fndc10",0.0253205032511947,"CA1","consistent-yoked_consistent"
"276","Fndc3a",0.0437307068776351,"CA1","consistent-yoked_consistent"
"277","Fnta",0.0893846799678158,"CA1","consistent-yoked_consistent"
"278","Fosb",0.0880836642843458,"CA1","consistent-yoked_consistent"
"279","Foxj3",0.0475602920475161,"CA1","consistent-yoked_consistent"
"280","Fra10ac1",0.0898322249610531,"CA1","consistent-yoked_consistent"
"281","Frmpd3",0.0888872126546492,"CA1","consistent-yoked_consistent"
"282","Fry",0.0899562425800852,"CA1","consistent-yoked_consistent"
"283","Fzd3",0.0850483917664773,"CA1","consistent-yoked_consistent"
"284","G3bp1",0.0613216057423428,"CA1","consistent-yoked_consistent"
"285","G6pc3",0.0786178633768464,"CA1","consistent-yoked_consistent"
"286","Gabpb1",0.0307582939273495,"CA1","consistent-yoked_consistent"
"287","Gad2",0.00223786039130321,"CA1","consistent-yoked_consistent"
"288","Galnt13",0.0688181753314265,"CA1","consistent-yoked_consistent"
"289","Gclc",0.0930311682922226,"CA1","consistent-yoked_consistent"
"290","Get4",0.0609263638247168,"CA1","consistent-yoked_consistent"
"291","Gfer",0.0593696759890437,"CA1","consistent-yoked_consistent"
"292","Gfpt1",0.0850483917664773,"CA1","consistent-yoked_consistent"
"293","Gipc1",0.00426536880205573,"CA1","consistent-yoked_consistent"
"294","Glcci1",0.0815608569249279,"CA1","consistent-yoked_consistent"
"295","Gli3",0.0748414610106904,"CA1","consistent-yoked_consistent"
"296","Gm10053",0.0368273254672628,"CA1","consistent-yoked_consistent"
