"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146B-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"IRS1",0.327461605958056,-0.242138101757549,-0.500374180157942,1.19203600660416,0.873361805648187,-0.495482247676762,0.0455606093619769,-0.489758270435472,-0.174691982813282,0.639597637667893,0.408437535412715,-1.24139206956378,0.480730167630933,-0.321267621741528,0.124826338025466,-0.626907232163068
"IRS2",0.621110077772627,0.0330596809089609,-0.328379570070298,0.897320300414664,1.24943139841502,-0.554665759163525,0.0239781728099615,-0.753270840756845,0.248330910124963,0.549210283126444,1.07349086670306,-1.88467420644816,0.352709345106222,-0.773245422730721,0.213821282726615,-0.968226518938999
"JDP2",0.555507169431102,-0.329752196041587,-0.688411277034687,0.118880031898662,0.245410304040425,-0.187742501359554,-0.0789134591354514,-0.333955625812649,0.278584230543065,0.408304268470853,0.0319576202528244,0.31621076059717,0.119021209340317,-0.174927198419457,0.125872631349351,-0.406045968120383
"JMJD1C",0.0088381232349537,-0.249991505108007,-0.130703992158777,0.499918244173401,0.0817189805879011,-0.407439611701077,-0.0958651376448785,-0.106771754379499,-0.183440895754636,0.0818158797022868,0.445764529111559,0.037755058502654,0.70371887823414,-0.280768403602366,0.190730504256301,-0.595278897453958
"JUN",0.497913925277796,-0.195605971068892,0.191366296833575,0.911134816408099,1.03414255282326,-0.891854363180117,-0.0182952549886348,-0.22371027077814,0.463993643344782,-0.351527500659431,0.683550935213809,-1.5841216089097,0.27595181173057,-0.44218172575269,0.290774003263218,-0.641531289557507
"JUNB",0.698119176126434,-0.0492769991263273,-0.112415814262777,1.06717695188444,1.45567863718918,-1.54080532394361,-0.147376426669046,-0.386163154270999,0.958135836042663,-0.0803800197039823,1.574677571284,-2.79015158701884,0.568104866093847,-0.861465274508438,0.128881476296652,-0.482739915413214
"JUND",0.554536564792844,0.0752028674293808,-0.102803882901972,0.820328470447475,0.915734294084867,-1.07879585748537,-0.411308286273117,-0.581720393972811,0.563168580655169,-0.961114446740556,1.31382996292198,-0.121184234944439,0.480673856231091,-0.884915858880378,-0.116280082110521,-0.465351553253642
"KCNA4",0.352847972598747,-0.423271449544653,0.0731576422748637,1.25264873069329,0.887776358644483,-0.279441793093518,0.158614929087097,-0.0629419210062974,0.126497940936032,-0.973679194877207,0.231411843187287,-1.2981937473345,0.605211898077378,-0.0722901119799229,-0.363631197636078,-0.214717900026991
"KCNF1",0.954937992150685,-0.572760926798061,-0.134780647954607,1.48610177251548,0.995717199661867,-0.132620242533705,-0.501303153210814,-0.12747721028356,0.703273052455538,-0.830578659151944,1.27053594575187,-2.31407760977993,0.7440013928048,-0.492774931425673,-0.338217925297567,-0.709976048904385
"KCNJ2",0.689777425168009,-0.178481245032803,0.134807803260175,1.66211856435031,1.43567398840895,-0.66204500982643,-0.130190224794114,-0.212597241742507,0.886014760119185,-1.09262835126258,0.577699110350824,-2.57612730189056,0.706900847284723,-0.611511855509851,0.111650180995325,-0.741061449878657
"KDM6B",0.23964847979452,0.204828815494801,-0.103839010089036,0.540896807845373,0.29078952152144,-0.457818607866204,0.0322805089628311,0.0316905049679068,0.0872398914617207,0.166889205234588,1.04516300567188,-1.98401797447029,0.555671402091622,-0.455686103291946,0.299219600748092,-0.492956048077296
"KDM7A",0.112296881179036,-0.227299323334373,-0.225301916631199,0.519522111002475,0.409092104803726,0.0569881048143195,0.0646651498593531,0.182384637297075,-0.208270526699351,-1.58935011153466,1.03072433299009,-0.491483167157083,0.404262873336851,-0.165586946929746,0.342336444627902,-0.214980647624401
"KITL",0.444577165583664,-0.384237475514177,0.167422237096885,1.45269404388482,0.855040734821115,-0.145011799028816,-0.0705036533303405,-0.306434245081816,-0.220303336878164,-1.66848548800706,1.41148092724919,-1.66848548800706,1.17032446448893,-0.5760840188639,0.29705861613616,-0.759052684549444
"KLF2",0.665192337164418,0.0680223700158189,0.361582934992669,0.710614841624433,1.14231037262953,-0.52655387612455,0.0589559562741595,-0.223526269724561,0.71063374098213,-1.81771402683265,0.845518922048065,-1.81771402683265,0.204878206696283,-0.308330541093359,-0.0912227669989818,0.0173518251792526
"KLF6",0.393261529461521,0.27268705072182,0.129023084874702,1.10434951070843,0.743986980607204,-0.715789385301484,-0.0468680619563999,-0.278422300622203,0.168739535166603,-0.515554348416789,0.585166557759624,-0.840068900874086,0.427514664055598,-0.680347358727155,-0.61336965718684,-0.134308900270547
"KLKB1",-0.532144244992737,-0.417902215043281,-0.105879658558381,-0.487196180267874,-0.388793778405281,-0.684859778720752,-0.332873318879704,-0.0251589908234573,-0.536231164627123,2.49482840611826,-0.011549700886639,2.3709119486676,-0.665938189627446,-0.393226661774304,-0.443172046788729,0.159185574609843
"LBH",-0.0908911529244421,-0.284316943808434,-0.11595839544399,0.68685694450949,0.499064695661254,-0.54463037802016,0.42965808678981,0.133442800960286,0.0689831585906981,0.259617338661809,0.708785140856667,-1.76241349639571,0.523903769674368,-0.446736372840481,0.335810691394402,-0.401175887665574
"LCMT2",0.199839191594868,-0.125781345988699,0.24775550333741,0.618475759624689,0.228279738878078,-0.416902772325465,0.259516575105539,-0.361887243442816,0.168129509487951,-1.07419757812067,0.859396244636848,-1.07419757812067,0.228391352117977,-0.144230037983396,0.195136778945407,0.192275902252946
"LEMD3",0.192628466944313,-0.00775313428110902,-0.077625672942462,0.66850923383391,0.497619758486685,-0.0886832624710054,-0.0358898287226683,0.242286992851319,-0.000304090843584959,-1.16901601002214,1.56534356020395,-2.24007158663591,0.684460302017045,-0.0720195024693426,0.186856992199126,-0.346342218148121
"LMNA",0.60393718802389,0.173489170628761,-0.292670537771778,0.3666053647292,0.719222740870029,-0.906353995393701,-0.20172483167942,-0.17859756968135,0.0732189619550692,-0.297651059727049,1.55274715628414,-1.36227389130804,0.634786058793639,-0.747613582776029,0.0570613930084445,-0.194182565955813
"LONRF1",0.0358782627818117,-0.00477329690156392,0.0481556138147798,1.69842500745096,1.05748957855312,-0.541860493854024,-0.0144379970932311,-0.88824832857031,0.273805117599283,-0.16941388705537,0.5484689863112,-1.9518793673219,1.09318637303535,-0.914393199147823,0.192211702985983,-0.462614072588252
"LRRC45",-0.311531694790261,0.25165835866634,0.593084904075599,-0.582252122717103,-0.230760789163601,0.0482580733044751,-0.249552369405182,0.368259043904958,0.119179412926337,-0.650581278363426,-0.0885966921400261,0.642360247122076,-0.0712060384249371,-0.15333708720616,-0.099065458107181,0.414083490318093
"LRRTM2",0.176368275252838,0.225598209398703,-0.287860898480089,0.550465145618815,0.678191146444909,-0.17407613926067,0.0503703954513739,-0.525041633547189,0.548753836504019,-0.322307720857363,0.0970679008963646,-1.1853541577442,0.196739085985351,0.0605342204600401,0.0568608735415186,-0.146308539664433
"LYSMD4",-0.281824583630438,0.200344131874248,0.272810112541377,-0.16467954584449,-0.110898906363485,0.248009381776874,-0.0672706596490888,0.109074363047148,-0.266634025187419,1.27678055392166,-0.0274768141481623,-1.54097255110762,-0.221330596904383,0.314897360676087,-0.121911964268634,0.381083743266333
"MARCH11",0.14009083133394,-0.476276024085239,-0.0846857776611118,0.322783023287333,0.749360686663724,0.0175940919374487,-0.00502133336015476,-0.0564328466898196,0.492034661905451,-0.982582654136047,0.650636246934167,-0.982582654136047,0.54411309334154,-0.150078777852901,0.155332139503834,-0.334284706986121
"MC1R",-0.0804558104249198,-0.596718439442806,-0.01170200401633,-0.503453487485368,-0.435415964894869,-0.579015696278864,-0.241986876525836,-0.00812600603738467,-0.503447992174599,2.03608050231053,-0.164555216654609,1.89742645869759,-0.43075324303117,-0.370589487870008,-0.170735147051357,0.16344841088
"MED7",0.364185411220061,-0.198316796026821,0.154978176016313,0.418674786891631,0.370293563375508,-0.00611656853254505,-0.0364437784223171,-0.0548147424870598,0.0701936817998172,-1.2653194609163,0.623043434119797,-1.2653194609163,0.477633343456633,-0.0788121853166697,0.376526504481736,0.0496140912565224
"MEST",-0.0274714486826912,-0.151659992217291,-0.268438263796186,1.2162199753209,1.02850540566823,-0.303162557561584,0.22978224849644,-0.422137347199369,0.0804890482270677,-0.3239373510744,0.930507200225146,-1.80743630170238,0.482667678892309,-0.666816956305041,0.24323435770665,-0.240345695997799
"MFAP3L",0.359426066645005,-0.42483618972187,-0.742502822538958,1.07688169659113,0.261663697857296,-0.282481325457689,0.170978152521831,0.0431995509509759,0.198957122130794,0.467969554029933,-0.382302366870475,-0.0534363578136139,0.662268325435095,-0.476701653264922,-0.222443257354691,-0.656640193139841
"MN1",0.727577875869655,-0.0897985861249779,-0.470978328216439,1.34306672974542,0.997080913398122,-0.248065936777146,0.458574893464493,0.0212165398745849,0.246414965876917,-0.228022907174975,-0.518036314169133,-2.45163013692665,0.669763496262041,-0.39332419752823,0.283419138527508,-0.347258146101191
"MYC",0.743493085136953,0.167755859821551,0.434557349979515,0.652639136656881,0.633501584903811,-0.501870126382712,-0.00185219951047433,-0.312714296501398,0.311060895662902,-1.31034069276572,0.749976309423977,-1.31034069276572,0.0906567360249664,-0.310028911817295,0.0582581972846299,-0.094752235151855
"NAF1",-0.136846879000494,-0.155059569018768,-0.0963115035775832,0.644800505923312,0.388793381434242,-0.170047274406772,0.343298759202549,-0.322231838016162,0.00556649104846585,-0.171488697874788,0.293295279486268,-0.353767927793694,0.309412742386611,-0.281655763743939,-0.0852655896915184,-0.212492116357737
"NAP1L5",-0.0321290166749542,0.267332879215576,-0.0911514990851181,0.678642857691743,0.65949245473694,-0.461834269349124,0.133534359486331,-0.530679077800609,0.276876957632194,0.591768175532241,0.591220607445361,-1.93678498365834,0.255502472700181,-0.285473469230236,-0.00185154190994741,-0.114466906732239
"NEDD9",0.489535489701493,-0.104221191878532,-0.883124914039464,0.792126364872986,0.273718618724303,-0.381197034818558,-0.11076447671986,0.00481913867113004,0.181268435477732,-0.883124914039464,-0.21378384451412,0.275859484131222,0.510010361620738,-0.0878947516079416,0.187484270477834,-0.0507110360594965
"NEFM",0.704314721753191,-0.335031344864165,-0.224153422490035,0.445973855745793,0.77033515934067,0.10461247966486,-0.0980699358314183,-0.101317537527327,0.168236236715885,-1.03156555077996,0.452980975644692,-0.369083035722435,0.238366105351988,-0.24282690788335,-0.241383742231266,-0.241388056887136
"NEUROD6",-0.657209125829858,-0.0248031415745853,-0.171438390796219,-0.500128564535002,-0.569776534985015,-0.640705875270482,-0.208297074303376,-0.528564650375547,-0.337579469765647,1.48357631084707,-0.253120301714042,1.49527262402977,-0.566260253846599,-0.476641506263982,-0.179076502115571,2.13475245649908
"NFIL3",0.935971993232646,-0.18019043015586,-0.0230795002180395,1.46659397809043,1.23937849934203,-1.0870932901939,0.276959736168885,0.0643034906729696,0.622526070987377,-1.25887715721216,0.568066349341001,-2.32993273382592,1.10474359409801,-0.851415585351901,-0.194886368727562,-0.353068646247999
"NPAS4",1.26340562359035,-0.566295914047464,-0.415091023693202,2.30496067354856,2.17892991623157,-1.96796337375418,0.882011408036769,-0.27618776934562,1.42957310454995,-1.65042915866795,1.56504219271583,-3.89190171555145,1.75012150818121,-1.57379512969811,-0.254609669610371,-0.777770672485884
"NPTX2",0.6618911120647,-0.322689725496271,-0.043496316346614,1.09660596212554,1.31993156954657,-0.781095382765357,0.0122810923571475,-0.328212492362309,0.405081442553655,-2.28711131096558,1.41128929155279,-0.238269108144246,0.809671218692499,-0.902204969110959,-0.00841147351848015,-0.805260910183089
