"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"105","Arid1b",0,0,1,0,0,0,0,0
"106","Armc7",0,1,0,0,0,0,0,0
"107","Arrdc4",0,1,0,0,0,0,0,0
"108","Asb3",0,1,1,0,0,0,0,0
"109","Atf6b",0,0,1,0,0,0,0,0
"110","Atp1a2",0,1,0,0,0,0,0,0
"111","Atp5d",0,1,0,0,0,0,0,0
"112","Atp6v1b2",0,0,1,0,0,0,0,0
"113","Atp6v1g2",0,0,1,0,0,0,0,0
"114","Atxn10",0,0,1,0,0,0,0,0
"115","AU019823",0,1,1,0,0,0,0,0
"116","Axl",0,1,0,0,0,0,0,0
"117","Bahcc1",0,0,1,0,0,0,0,0
"118","Bax",0,1,0,0,0,0,0,0
"119","Bbs9",0,1,0,0,0,0,0,0
"120","Bod1",0,1,0,0,0,0,0,0
"121","Bri3bp",0,0,1,0,0,0,0,0
"122","Bud31",0,1,1,0,0,0,0,0
"123","C1qtnf6",0,1,0,0,0,0,0,0
"124","Camk2d",0,1,1,0,0,0,0,0
"125","Capn5",0,1,0,0,0,0,0,0
"126","Carm1",0,1,0,0,0,0,0,0
"127","Ccdc107",0,1,1,0,0,0,0,0
"128","Ccdc167",0,1,0,0,0,0,0,0
"129","Ccr2",0,1,0,0,0,0,0,0
"130","Cct3",0,1,1,0,0,0,0,0
"131","Cd63",0,1,0,0,0,0,0,0
"132","Cdc14b",0,0,1,0,0,0,0,0
"133","Cdh12",0,1,1,0,0,0,0,0
"134","Cdh20",0,0,1,0,0,0,0,0
"135","Cdh7",0,0,1,0,0,0,0,0
"136","Cdkl4",0,1,0,0,0,0,0,0
"137","Cds2",0,1,1,0,0,0,0,0
"138","Cers1",0,1,0,0,0,0,0,0
"139","Chchd4",0,0,1,0,0,0,0,0
"140","Chrm3",0,1,0,0,0,0,0,0
"141","Cic",0,0,1,0,0,0,0,0
"142","Clcn5",0,1,0,0,0,0,0,0
"143","Clybl",0,1,0,0,0,0,0,0
"144","Cnot6",0,1,1,0,0,0,0,0
"145","Cnr1",0,1,1,0,0,0,0,0
"146","Cntnap5b",0,1,0,0,0,0,0,0
"147","Coasy",0,0,1,0,0,0,0,0
"148","Cog3",0,1,0,0,0,0,0,0
"149","Coil",0,1,1,0,0,0,0,0
"150","Col11a2",0,1,0,0,0,0,0,0
"151","Colgalt2",0,0,1,0,0,0,0,0
"152","Commd4",0,0,1,0,0,0,0,0
"153","Cpne6",0,0,1,0,0,0,0,0
"154","Cpne7",0,0,1,0,0,0,0,0
"155","Crnkl1",0,1,1,0,0,0,0,0
"156","Crocc",0,1,0,0,0,0,0,0
"157","Crtc3",0,1,0,0,0,0,0,0
"158","Csf3r",0,1,1,0,0,0,0,0
"159","Csmd3",0,1,0,0,0,0,0,0
"160","Ctf2",0,0,1,0,0,0,0,0
"161","Cuedc1",0,1,0,0,0,0,0,0
"162","Cwc27",0,0,1,0,0,0,0,0
"163","Cxcl9",0,1,0,0,0,0,0,0
"164","Dcaf12",0,1,1,0,0,0,0,0
"165","Dcdc2b",0,0,1,0,0,0,0,0
"166","Dda1",0,1,1,0,0,0,0,0
"167","Ddx47",0,1,0,0,0,0,0,0
"168","Dhps",0,1,1,0,0,0,0,0
"169","Dhx34",0,1,1,0,0,0,0,0
"170","Diaph2",0,0,1,0,0,0,0,0
"171","Dner",0,0,1,0,0,0,0,0
"172","Dock8",0,1,0,0,0,0,0,0
"173","Dscr3",0,1,0,0,0,0,0,0
"174","Dtx3l",0,0,1,0,0,0,0,0
"175","Ece1",0,1,0,0,0,0,0,0
"176","Eed",0,1,0,0,0,0,0,0
"177","Efcab12",0,0,1,0,0,0,0,0
"178","Efcab14",0,1,0,0,0,0,0,0
"179","Ehd2",0,1,1,0,0,0,0,0
"180","Eif1ad",0,1,0,0,0,0,0,0
"181","Eif2s2",0,1,0,0,0,0,0,0
"182","Elp2",0,1,0,0,0,0,0,0
"183","Emc4",0,0,1,0,0,0,0,0
"184","Emc6",0,1,0,0,0,0,0,0
"185","Eng",0,1,1,0,0,0,0,0
"186","Enkd1",0,0,1,0,0,0,0,0
