"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Eln",6.60680223492987,6.83815198390189,6.15323483203576,6.33414409144239,6.38076421705863,6.71613415957155,6.54167555151999,6.9949586405425,6.58212939409382,6.10741554155047,6.48858062290051,6.79045232028317
"Elof1",7.33040460319145,7.1982454847502,6.68741325644872,6.89946766088885,7.20251239796265,6.84622384839729,7.36366129699178,6.56651335101023,7.17560597562819,7.20229103435088,7.00599413085869,6.99951709316602
"Elovl1",6.7471018561585,6.5272639655662,6.50171616861298,7.11975615356629,6.81292181447495,6.79074028431428,6.2603486507478,6.72504232080247,6.69989630799703,6.74180820693417,6.09905891000245,6.5001491580929
"Elovl2",6.16651959640838,6.64459133834263,6.64499732739937,7.00331466764707,6.84427756997435,6.9482014766265,6.38885509350361,6.69843077117864,6.91300073150252,6.75905464489578,6.94955068032668,6.76889320023402
"Elovl4",8.19470152917087,7.84018551825394,7.6480957014075,7.87228327054763,8.24900360866205,7.67939341723807,8.0985515196462,8.23389304355802,8.06638492604339,7.89114799475754,8.19022893805169,8.39909029533234
"Elovl5",7.21198809499771,7.60493663032915,7.74435376491723,7.65511796144551,7.61709827129092,7.93190544225112,7.344195824696,7.28459389520467,8.20020371742869,7.2762706992122,6.94955068032668,7.41904330009318
"Elovl6",7.87949683717512,7.68830993350933,7.80469710615958,7.87228327054763,7.93261209843318,7.16533012952893,7.76274030152471,8.24794126262142,7.81945498716211,7.63869391365328,7.10033501319913,7.82343590412241
"Elovl7",6.80392819509714,6.64459133834263,6.55261476465212,6.48693865837898,6.5539546939191,7.01826303676005,6.60716765916451,6.96510969902363,6.99058214756751,6.46329716245762,6.44695176553183,6.65215441697704
"Elp2",8.19135515283551,8.03906989636033,7.8193494568185,8.03767138414393,7.99653583925947,7.9979919179793,8.14099303398647,8.28584007310735,7.58471471671008,8.13631655186033,8.43162596650101,8.32880250792886
"Elp3",8.08688213948788,8.00794205782238,8.08235872158401,7.68267883260494,7.99085113204466,8.21274230177861,8.11994040770509,8.32930912788895,7.98144504717064,7.93380793267182,8.17361555308479,8.2698439164931
"Elp4",6.45224384152599,7.06893395789686,6.03443910866163,6.01048873685946,6.48512598017227,6.71613415957155,6.54167555151999,6.95495803554169,6.43181843681366,6.67854168150378,6.75705979092978,6.61362866854975
"Elp5",7.64277299094948,7.72800932297442,7.38917891104929,7.49150065969392,8.04115482785275,7.71072994117728,7.56718076865737,7.2920567573916,7.41615206720255,7.67221580523887,7.7940496340311,7.43644677451808
"Elp6",6.10176357820178,6.64459133834263,6.90572335376311,7.05146679788533,6.59646374677035,6.54295089637861,6.46964152076905,6.71184150272814,6.62336389783611,6.48794056319792,6.58291500144642,6.43572001351797
"Emb",6.75876423982917,6.74678563092428,6.55261476465212,7.16296460978873,7.13545786211346,6.89857110522306,7.28374816174714,7.39855911376812,7.43054154622489,7.01802845604444,7.40494068603969,7.2010864017649
"Emc1",8.49087187722414,8.31603397873623,8.25025071937272,8.45336747206799,8.0466280704263,8.42713895126199,8.33972998215891,8.50512132393434,8.61303405624894,8.21138562987603,8.36430939313429,8.39634698381699
"Emc10",9.44200235826985,9.50567920598183,9.10265079594253,9.2109705071653,9.38237278145618,9.45196253615174,9.19224447557752,9.1203047348765,9.10652677553644,9.16335153820345,9.72730710024087,9.55160056593174
"Emc2",7.61699069749412,7.87550592574014,7.80469710615958,7.61260304322837,7.36383071004654,7.6857233508172,7.17521168300531,7.49621461785178,7.31805876971533,7.32629841984702,7.62750328487758,7.61791466720801
"Emc3",7.59066182045645,7.56105319419395,6.90572335376311,7.69623596521655,7.52205652409862,7.81754365213449,7.46531273562573,7.50245068990333,7.67574403708625,7.63869391365328,7.71943978491403,7.89721590675614
"Emc4",7.98530888050883,8.00794205782238,7.91751765056303,8.25699955355591,8.06829843808551,8.16547880849104,7.9919825539636,7.51482730598303,7.55926695448807,7.93080652954522,8.21477152090641,8.27885223462547
"Emc6",7.18220691091568,7.25758108755117,6.80318636475597,7.52292008262209,7.24504900324924,7.06242298335718,7.37327336654893,6.86969586511233,7.00118732003412,7.33604747168625,7.70756264816761,7.30238765011122
"Emc7",8.04643403249288,8.29075642305701,8.14068397675286,8.04799342790439,8.0466280704263,8.3143908469427,8.07681466058561,8.60292443500571,8.24453868849974,8.33238520135908,7.86455795118461,8.27885223462547
"Emc8",7.8053517277408,7.94339495363267,7.93095643446713,8.03767138414393,7.89024826158617,7.7829214260721,7.88874245524733,7.78482072994177,7.99978567073333,7.9953031104704,7.72533684505422,7.65698376890474
"Emc9",7.18972805235421,7.13553279672632,6.87277773979257,7.0276734523043,7.10030241706347,7.17509916034096,6.58596554040747,6.59781383787628,6.89554231104297,7.06873820796894,7.12019452281778,6.98226634418857
"Emcn",6.3789236073746,6.2007163041327,5.74601471773009,6.11951744560923,6.59646374677035,5.74601471773009,6.22255185613063,6.3849361907878,6.29007969323523,6.32320465498686,5.74601471773009,5.90163489457776
"Emd",6.72329375856885,7.51554170438576,7.54379577642718,7.72292119281063,7.56255429180867,7.07317518529845,7.00228892198559,7.1578950467374,7.58785902901638,7.06873820796894,7.12019452281778,7.21513471150205
"Eme1",5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.18637410257059,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.92286684183806,6.05680468388423
"Eme2",7.071016310812,7.76650417454332,7.46897683491684,7.32063860056483,7.48016324386079,7.18478164836029,7.344195824696,7.39175408711816,7.3979155337475,7.55677185741001,7.56221638388507,7.5569019464733
"Emg1",6.63418547865895,6.74678563092428,7.10998468997024,7.11975615356629,6.9464484494672,7.14552475800409,6.88851215548052,7.01437741605778,7.00118732003412,7.05001229110308,7.29275600498863,6.7579128203933
"Emid1",6.16651959640838,5.74601471773009,5.74601471773009,6.11951744560923,6.38076421705863,7.06242298335718,6.35939184734644,6.46356893872451,6.78996298087165,6.01951320260687,5.74601471773009,6.15656000946543
"Emilin1",5.74601471773009,6.2007163041327,6.32003085757434,5.74601471773009,6.21651083794126,6.28431077563994,6.08373963483239,5.74601471773009,6.15057251364263,6.17749173720119,5.74601471773009,6.15656000946543
"Emilin2",5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.13073690606632,5.92637191568324,5.74601471773009,6.29433054272488,6.38826597123907,6.46329716245762,6.09905891000245,6.25968120485496
