"","padjPunchCA1DG","padjPunchCA1CA3","padjPunchCA3DG","padjAPAConsistentControl","padjAPAConflictControl","padjAPAConflictConsistent"
"1700123O20Rik",0.937035095940482,0.730080647331728,0.301500077863523,1,1,1
"1700125H20Rik",0.995988468926685,0.969601194230681,1,1,1,1
"1700128F08Rik",0.759481735728662,0.242803602664158,0.0200744866329929,1,1,1
"1810009A15Rik",0.997038201659636,0.926378693487639,0.78617840595429,1,1,1
"1810010H24Rik",0.021511413934185,1,0.00905809511247631,1,1,1
"1810011H11Rik",0.995988468926685,0.986051649979111,0.893127904646982,1,1,1
"1810011O10Rik",0.980369848275815,0.800817675641216,0.418558720317004,1,1,1
"1810013L24Rik",0.749034884135468,0.694411079577567,0.956000916152117,1,1,1
"1810022K09Rik",0.473308443198546,0.468421430229058,0.981700909969886,1,1,1
"1810024B03Rik",0.887606858950464,0.745055692131538,0.920230992485012,1,1,1
"1810026J23Rik",0.0134582655913639,0.489732579409915,0.255276902584885,1,1,1
"1810030O07Rik",0.995988468926685,0.245821780195191,0.237825287521494,1,1,1
"1810032O08Rik",0.419682581536208,0.986051649979111,0.494799340155007,1,1,1
"1810037I17Rik",0.995988468926685,0.641146836854871,0.609991228902387,1,1,1
"1810041L15Rik",3.95893272786177e-16,2.29546787536104e-06,0.000346793419032193,1,1,1
"1810043G02Rik",0.995175160492965,0.192487082503183,0.224123722465517,1,1,1
"1810043H04Rik",0.995988468926685,0.801680909618841,0.491162671799453,1,1,1
"1810049J17Rik",0.995988468926685,0.850899812118845,0.663286089695706,1,1,1
"1810055G02Rik",0.995988468926685,1,0.997204662615015,1,1,1
"1810062G17Rik",0.995988468926685,0.986051649979111,1,1,1,1
"2010005H15Rik",0.995988468926685,0.986051649979111,0.94855079465412,1,1,1
"2010107E04Rik",0.710075665419324,0.513499830012696,0.0749153418825877,1,1,1
"2010107G23Rik",0.895711894243699,0.619467055935078,0.815714778765018,1,1,1
"2010109A12Rik",0.995988468926685,1,0.946087691384254,1,1,1
"2010109I03Rik",0.520497270250113,1,0.455039549892036,1,1,1
"2010111I01Rik",0.840443550857414,0.223687083127848,0.0228183394797543,0.110102865089057,1,1
"2010300C02Rik",0.486071353034815,1.34546758015039e-32,2.13118649657751e-41,1,1,1
"2010315B03Rik",0.0267039918428437,0.0168987532178083,0.920230992485012,1,1,1
"2200002D01Rik",0.749569658116949,0.651876504987839,0.920230992485012,1,1,1
"2210010C04Rik",0.995988468926685,0.986051649979111,0.941325156200147,1,1,1
"2210013O21Rik",0.694258383776227,0.986051649979111,0.767564925065563,1,1,1
"2210016F16Rik",0.639109202471222,0.22938861230476,0.660401637874078,1,1,1
"2210016L21Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"2210017I01Rik",0.738005348710119,0.974420143144144,0.920230992485012,1,1,1
"2210407C18Rik",1,1,0.981396385055707,1,1,1
"2210408I21Rik",0.0135833823639101,1,0.0112118122107294,1,1,1
"2210418O10Rik",0.81051086722766,0.952527884269246,0.946087691384254,1,1,1
"2300009A05Rik",0.744427187469175,0.986051649979111,0.838500690341036,1,1,1
"2310009B15Rik",1,0.998480285282291,0.976750658827225,1,1,1
"2310011J03Rik",0.840052432319523,1,0.743902379842359,0.628937687898281,1,1
"2310022A10Rik",0.819302435224575,0.853240227646539,1,1,1,1
"2310022B05Rik",0.995988468926685,0.986051649979111,0.981396385055707,1,1,1
"2310030G06Rik",1,0.991015870083183,0.959372543396126,1,1,1
"2310033P09Rik",0.765207940668993,0.837447996907723,0.99859130919069,1,1,1
"2310035C23Rik",0.677952448992837,0.770552931996194,0.987801875100852,1,1,1
"2310036O22Rik",0.0698506665420929,0.304929854055883,0.815609291225974,1,1,1
"2310039H08Rik",0.694258383776227,0.886375944198692,0.934054504419983,1,1,1
"2310057J18Rik",0.995988468926685,0.998480285282291,0.89762831310449,1,1,1
"2310057M21Rik",0.995988468926685,0.986051649979111,1,1,1,1
"2310061I04Rik",0.995988468926685,1,0.920230992485012,1,1,1
"2410002F23Rik",0.737856001549624,1,0.512639567864008,1,1,1
"2410004B18Rik",1,0.69578830566883,0.503915364012922,1,1,1
"2410004P03Rik",0.831340405114438,0.101864014024419,0.228367378673653,1,1,1
