"","row","column","cor","p","padj"
"245","PNN","ROCK2",0.319477318709857,0.245753393488086,0.529623639843712
"246","GRIA2","FGFR3",0.316803172996311,0.249949677913691,0.536477357473289
"247","CAMK2A","LAMA1",-0.313986017511386,0.254417634839856,0.543856320629328
"248","PC1","LAMA1",0.312681752363513,0.256502597089719,0.546102303481336
"249","PRKCI","TNR",0.310245944540359,0.260424239305673,0.550464818298839
"250","IGF2","TNR",0.310114589046347,0.260636751088465,0.550464818298839
"251","TNXB","ALDOC",0.30911792233028,0.262252628546823,0.550988558056365
"252","CAMK2A","AQP4",0.308675531979963,0.262971811799629,0.550988558056365
"253","LAMC1","ALDH1L2",0.307554200240091,0.26480008689088,0.55262626829401
"254","PC2","LIMK1",-0.306008672519215,0.26733257338374,0.555714955695334
"255","PTPRS","EGFR",-0.303574635384433,0.271350518571845,0.561855191395819
"256","NSF","LIMK1",-0.302356643143271,0.273374664967711,0.56352150428571
"257","PRKCI","ALDOC",0.301556560312678,0.274709222079547,0.56352150428571
"258","PC2","TNXB",-0.301168991660215,0.275357098685063,0.56352150428571
"259","WWC1","LAMC1",0.299308861129725,0.278479312408945,0.567710721822096
"260","PIN1","LIMK1",-0.295810461441073,0.284408421971016,0.577567872310372
"261","IGF2","LAMA1",0.294604231782668,0.286470009266623,0.57952553598765
"262","TNC","TNXB",0.29341653859145,0.288508556272153,0.581421823327086
"263","IGF2","PNN",0.29193324584781,0.29106650026081,0.584346433983679
"264","WWC1","EGFR",0.291168626788961,0.292390305601178,0.584780611202356
"265","WWC1","GABRA1",-0.288552280366734,0.296946879635631,0.591098436185201
"266","PIN1","GFAP",-0.288071774569833,0.297788227320575,0.591098436185201
"267","PRKCB","ALDH1A1",-0.28642668969324,0.300679294222808,0.594601750373193
"268","TNR","FGFR3",0.285544398539049,0.302236575251968,0.594943832775179
"269","LAMB1","ALDH1A1",-0.285053056876257,0.30310585419796,0.594943832775179
"270","PRKCB","ALDH1L1",0.283374472209004,0.306086599521659,0.598569350175688
"271","PC2","ALDH1L2",-0.282145999592268,0.308278837373672,0.599552372865729
"272","PIN1","ALDOC",0.280254550664057,0.311671960609951,0.599552372865729
"273","LAMA1","ALDH1L2",0.279101053308468,0.313751827435094,0.599552372865729
"274","CAMK2A","TNC",0.279051889364898,0.313840652639495,0.599552372865729
"275","CAMK2A","PTPRS",0.27872439688901,0.314432708939325,0.599552372865729
"276","WWC1","GRIA2",-0.278420025615972,0.314983543853875,0.599552372865729
"277","PC1","GABRA1",0.278102413314153,0.315558935445042,0.599552372865729
"278","GABRA1","PTPRS",-0.278032413319243,0.315685830105583,0.599552372865729
