"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","variable"
"T1_Path2ndEntr",-0.00756146879900634,0.0175367837277563,-0.00468852864570885,-0.15007120860674,0.00379768066528117,-0.000147486716850633,0.0738593260152239,0.0637089847365422,0.0263590383328122,-0.13750963210062,0.0242804665007479,-0.0441604829268508,-0.0560213299519789,0.0874203244726405,-0.030807951316379,-0.0369129206448872,-0.00441274642612808,-0.0450609426714367,-0.0571580348078084,-0.0294964926777634,0.0414327306146293,-0.08551354606031,0.0301005426338196,0.152834279017768,0.0362788409888059,-0.0601798835896129,-0.129114346620433,0.102699657926191,-0.0691873768797871,0.0898187198687594,0.145381229486132,0.0328340836548482,-0.0810747329999001,0.0265986126700897,"T1_Path2ndEntr"
"T1_PolarAvgVal",-0.0759841988727521,0.0357196483314195,-0.00302069057254493,-0.0764320676939506,-0.0661591071462873,-0.0426660359926561,-0.076703824076037,-0.0349751244686107,0.01700477914611,-0.0418743759381069,-0.0127633929105092,-0.0155923079886567,0.0554135571399732,0.00500169304721417,-0.0295342221153943,0.0525754666028981,0.041163035565795,0.000282962495052233,0.0150943879494324,0.0411432813932151,0.0105600051408609,-0.014172223535221,0.0649446187672236,0.0442921761751279,0.0270335796305941,-0.0326724607492382,0.00923802036292101,-0.00859554587525779,0.0442600930946148,0.0219174352065926,-0.00996670459391039,-0.00702468716184044,0.0893386751177301,-0.0648270804271764,"T1_PolarAvgVal"
"T1_PolarMaxBin",0.0266944387235103,0.0632769135497724,0.00457597447915089,0.0868087547750117,-0.067346074436693,0.0380738352973188,-0.06387499514233,-0.0104316602240829,0.075318727581355,-0.184056861222657,0.0526649115618402,-0.0662381868958741,0.0204200245418389,0.0621103141752327,0.0496034038847906,0.0437745161821727,-0.0653676140613026,-0.0743070370351999,0.0534314940100806,-0.0543955240321389,0.0474036818680098,-0.0146841399904614,0.0482180788408843,-0.0609523910271215,0.103990805111173,0.0698208676192023,-0.0575411396121409,0.0413432771000521,0.0669193233807018,-0.0323333683283394,-0.0404228320339007,-0.0139617200269224,0.0351840360525099,-0.0517339257753841,"T1_PolarMaxBin"
"T1_PolarMaxVal",-0.0766707605356737,-0.0112566866338846,-0.0550579709081092,0.0344638549939132,-0.000293084050705479,-0.02057383256269,0.0585998631549247,0.00180732398548535,-0.00556177982348431,0.0994684022948421,-0.0242023704998279,-0.0394005877979293,-0.0354089885951749,-0.013659136357526,0.0204334341478578,-0.0079637063957137,-0.0242931627172679,-0.063910460912819,-0.0471670453626773,0.00156362258045089,0.113790822947147,0.01558117522403,-0.0331727491294477,0.0214946419063076,0.0754574330936788,-0.00143559366887966,0.0193302714599652,0.0205062152425522,0.0921009540409244,-0.0114651554965137,0.0398266579351925,0.0833897221790252,0.0151010460670034,0.0618510372787717,"T1_PolarMaxVal"
"T1_PolarMinBin",-0.00195303403426718,-0.0862575106559436,-0.0262984702451588,0.0171057723731779,0.0495627223899295,-0.147515502862387,0.0522450063058195,-0.0297106193278099,-0.0894075491591292,0.0474886763186113,-0.00179556505420182,-0.0711361438191042,0.00711885845134027,0.0525203065006719,-0.0188600659916989,-0.0518189214209859,-0.129471525921648,0.0412883522576924,-0.0362636846001552,-0.0271278828238331,0.00807129570783902,-0.0147220814575771,-0.0546640166410435,-0.0783320773593599,0.199517980554013,0.0582629744096602,-0.0380378688063206,-0.0481066506009419,0.0773158095589751,0.116625082130733,-0.138989636742182,-0.0198689266261589,-0.0135996131970181,-0.00599222296828213,"T1_PolarMinBin"
"T1_PolarMinVal",0.0749468321426342,-0.0129686171002082,0.0360435377547581,-0.0338027198708566,0.0505619492759068,-0.0375142430761112,-0.0218122585423414,-0.0275029989339394,0.0218544729211761,-0.0778377161082944,0.0757597455761403,0.0717721245279607,0.082831176857169,-0.00229754988642189,0.0308870776976852,0.057790349533327,0.0187393746804948,0.0740711820783542,-0.0336545032273928,0.0159805767356545,-0.0122439573504737,-0.0192017170182892,0.0240012299366094,-0.00767285629956523,0.0185408451957378,0.108931439217827,0.0128068554087127,0.0132526452003142,-0.0187956647212922,-0.0502801086042044,-0.0353993180367665,-0.0343170214727493,-0.0196339377941971,-0.0111004040553933,"T1_PolarMinVal"
"T1_PolarSdVal",0.0813516010518826,-0.00165209020001979,0.0472154116265131,0.00897366828874745,-0.0241605474486092,0.0364152772093065,-0.0152137456229508,0.0274660308879881,0.00820859032604784,-0.134736684670989,-0.0296299548782646,0.0293857995116989,-0.0155994059419719,0.0114909455490822,0.00634038117645774,0.0191496223565958,0.0254102995944339,0.0115677182404217,0.016256163865614,-0.0446763283154712,-0.053787989418559,0.00941804981636132,-0.0154618615115945,-0.0202483126119455,-0.01012320359043,0.0552005196334738,-0.0241974568720449,0.0197798815894611,-0.042003057669783,-0.0177810185322673,0.0389036711829207,0.0124070138656156,-0.0105888696204627,0.0171837191496595,"T1_PolarSdVal"
"T1_pTimeCCW",-0.0542237263297495,-0.0421959930668877,-0.0191268029556173,0.00943532887737827,0.0394935070770444,-0.117545194649706,0.0150959232229385,-0.0455750006693968,-0.0484638561862831,0.119540567414733,0.0330189130216049,0.0135780621753894,-0.029536576295675,0.0183396664271511,-0.0178705813137327,0.0462212407532679,-0.111036337922975,-0.00519258624879268,-0.0389606676616168,0.0427314068001863,-0.0450306238553985,-0.0296783139023361,-0.0962329298428735,-0.0368315349036884,-0.0526075378588137,0.102129177047305,0.0152896643912063,0.116124141327936,-0.0723985135233621,-0.155601685909817,-0.0369690669214682,0.017716213618068,-0.0503229001246973,0.0448083994895393,"T1_pTimeCCW"
"T1_pTimeCW",0.0629274289097676,-0.00601943102722054,0.0507984846391657,0.0256173335052631,-0.0533369354075382,0.0960612256650863,-0.0167290923078845,0.0581706767172871,0.0313673261199903,-0.160201493836272,-0.0428165750898439,-0.00311316111336641,-0.00141533893052815,0.0424721455162766,0.0240957474301788,-0.0328134066529968,0.0920224516241675,0.00257794634601356,0.062584620616125,-0.0177999254016836,-0.030746836800247,0.00967532705341799,-0.00548077654770217,-0.0348868134726458,0.0212796455890957,0.0251147669921759,-0.035061392246983,-0.00154030410003593,0.000958019462767786,0.0211187277193442,0.0420768295741059,0.0607811809578174,0.0507158592302573,-0.00791746252663221,"T1_pTimeCW"
"T1_pTimeOPP",-0.0719581207970866,0.0554577781539783,-0.0231204289987903,-0.0662129605923091,-0.0624897569216663,-0.0214790044999551,-0.0597457931200211,-0.0375961658476876,0.038260730414421,-0.0301097230521826,-0.000561890037553373,-0.022627228869373,0.0578712512724254,-0.029053612163264,-0.0345652133880948,0.0462842173638986,0.0505931935072218,0.00447601580724483,-0.00553429439087217,0.0368168746334666,0.0331379194810022,-0.0162706906332944,0.0870287586591391,0.0724961814915747,0.0413571962501027,-0.0847507759658111,0.00925645177340102,-0.0577532628132507,0.0674148343537922,0.0828156469303344,0.00580172845306292,-0.0663549096685153,0.0252300355494989,0.0218895666549712,"T1_pTimeOPP"
"T1_pTimeTarget",0.081375985235496,-0.0149536428935698,0.00546592179355072,0.0427647113630081,0.0681505512883502,0.0629826542627037,0.0614661359971702,0.0402802123012303,-0.0180455328720339,0.0365866585259959,0.000823602045987985,0.0135228893894961,-0.0327362381271494,-0.017289907742429,0.0358728143056221,-0.0685298360547078,-0.0166771816072173,-0.00175611352434702,-0.00317729584142078,-0.0661820701337682,0.0294234677170487,0.0379735194034896,0.00174850625646678,-0.0170507193906522,-0.0101306265719827,-0.0240280013052099,0.00136449192350221,-0.0462812474975646,-0.00443012171425045,0.0425572993593183,-0.00216232789919215,0.00949190214395375,-0.0165381733158876,-0.0176507036745198,"T1_pTimeTarget"
"T1_RayleigAngle",0.0290719604785675,0.0161261839932077,0.00645013388619669,0.104841590743019,-0.0817859879938598,0.146146437866169,0.0470882101158356,-0.00646633346530836,0.0539648103038607,-0.123718706746588,0.0336648991932163,-0.0747920263129278,0.0223821707976477,0.00226938729340843,0.0926667962736034,-0.0363041104106191,-0.0433787439290386,-0.100642406987651,0.0637280109299952,0.000402796523056732,0.0500234349644678,0.00291771767761651,-0.0221415290650839,-0.0868814735928066,0.053287630083134,-0.0422677851939057,-0.0562362409510926,0.00797195343732101,0.000605470210141359,-0.00654536129680311,-0.0343259761912317,-0.00273000126257845,0.0130586190027818,-0.0521226398038876,"T1_RayleigAngle"
"T1_RayleigLength",-0.0794705131703706,0.0244267153804126,-0.0591433855593739,0.0203501703140613,-0.0228675272422863,0.0103072756665897,0.0404261373316283,-0.0227326238807639,-0.0167257178301351,0.0897818072872172,-0.0176982309267112,-0.0769271270561489,-0.0444212008270689,-0.0134442860899812,0.00443078352592506,-0.0430211479167879,-0.0338229600287042,-0.0556768889513461,-0.0309758588725451,0.0342626927000604,0.0809045677841708,0.00447452477671393,0.0031210921863291,-0.0142493400403396,0.0192778479303816,-0.0603067619869839,0.0282804874630932,-0.0177408306926565,0.02743463751018,0.00796205214150428,-0.00384190945820951,-0.00330588342314286,-0.0120611585276696,-0.00642484516764333,"T1_RayleigLength"
"T1_SdevSpeedArena",-0.0363234839217949,-0.0955957096442705,-0.0463770115253972,-0.0532364335288908,0.121943482814733,0.00833215339147293,0.0305161541275777,-0.00555536879296964,0.00800659561116212,-0.0407466661833157,-0.0240428426182753,0.00125312132436885,0.0680687180486735,-0.071036640185528,-0.0434777901127832,-0.0753702241665823,-0.0164235673615556,0.0595927035840723,0.0861469006322814,-0.0368504768636996,-0.0183843680232325,-0.162042150233123,-0.0112170069373629,0.15197079205069,-0.0640363649872592,-0.0151837102781309,-0.00191969013159601,-0.0189743934952377,0.0696547260353414,0.00698859161507605,0.00645934792637309,0.0769870167933102,-0.116836153017782,-0.127515266746272,"T1_SdevSpeedArena"
"T1_Speed1",-0.0370960863237962,-0.0574740147427536,0.0192343492590521,0.021837011281165,0.118188233188873,-0.043832181516936,-0.0202979458809701,0.062035438615172,0.138563309529291,-0.0889667640463986,-0.104548286417767,-0.0216807417981364,-0.0201118318770276,-0.0221979714203907,0.0618734180230701,0.0476671958252091,0.0103262310176075,-0.0378336729494316,0.0461617073622122,-0.08509019525048,0.0480016917666602,-0.0750181725696784,0.0148387996204028,0.0695178699255286,-0.00142396298993639,-0.00892760089123529,-0.0397842328407923,0.0614193798706239,-0.111586519855828,-0.0880827561544022,0.069510795543844,-0.0598916047018011,-0.0979003022654163,0.0317668805519481,"T1_Speed1"
"T1_Speed1stEntr.cm.s.",-0.0199598391809112,0.0170235498813116,0.0280090753509345,0.0521803447672548,0.106539504674821,-0.0544421281096348,-0.0359184198836217,0.0872407117312511,0.0983647534961731,-0.0044738112354267,0.00300329753090542,0.0595956312610405,0.03892279192706,-0.0434071138946758,0.164911392271145,0.0329050839633676,-0.159986985589176,-0.111028684726523,0.0607915510659159,0.114064013239261,0.033270580544458,-0.0375968306226926,-0.0500370601841144,0.0204388878401056,-0.00297436895980426,0.0107973846993399,-0.0420737076729663,-0.0363201264864926,0.0501468733344038,-0.09760888253136,0.0716691114939796,-0.124555428794283,-0.0222032069007291,0.0222957622671942,"T1_Speed1stEntr.cm.s."
"T1_Speed2",-0.0314905475369161,-0.0742032402716426,0.0016212709465515,0.0915122938856482,0.0410969183018645,-0.0229394396707285,0.0498015118370517,0.0871575774238118,0.0385984968809814,0.0546849333409107,-0.145308526926202,-0.0188182841836908,0.0472171364252971,-0.00550816376745542,0.132971627406568,0.0541988842680348,-0.0362989090306168,0.0519375451004463,-0.0237005334096569,-0.0186620819102632,0.100229562002951,0.10883100016288,-0.0710493437234324,0.0598805528082271,0.0256355303502991,-0.0389168475394527,0.0223123142523188,-0.0123602716646126,-0.00779470484153909,-0.145319639411795,0.04910964185822,0.0454826700271648,0.0337230577983534,-0.0755575180474184,"T1_Speed2"
