"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.HC.ConfT","CA1.HC.ConfY","CA1.HC.StdT","CA1.HC.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.HC.ConfT","CA3.HC.ConfY","CA3.HC.StdT","CA3.HC.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.HC.ConfT","DG.HC.ConfY","DG.HC.StdT","DG.HC.StdY","DG.StdT.StdY"
"125","Adamts1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"126","Adamts10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Adamts3",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"128","Adarb1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"129","Adat3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Adck1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"131","Adcy5",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"132","Adcy6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"133","Adcy8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"134","Adcyap1r1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"135","Adgra3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"136","Adgre5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"137","Adgrf5",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
"138","Adgrg1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"139","Adgrl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"140","Adgrl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"141","Adgrl4",0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"142","Adh5",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Adhfe1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"144","Adipor1",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Adnp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Adnp2",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Adora3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"148","Adra1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"149","Adra2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"150","Adra2c",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Adrb1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"152","Adrbk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"153","Aen",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Afap1l1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Aff1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"156","Aff4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Afg3l1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"158","Agap1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"159","Agbl4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Agfg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"161","Agfg2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Aggf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"163","Agpat5",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Agt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"165","Agtpbp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"166","Ahctf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"167","Ahcy",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
