tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Mtmr7,1.31,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Slc7a2,4.45,2.41e-02,1.62,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fat1,1.62,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cyp4v3,4.99,7.57e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tenm3,3.26,1.10e-02,1.96,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gpm6a,0.62,5.29e-02,1.28,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sh3rf1,0.85,8.08e-02,1.09,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Atp6v1b2,-0.64,7.06e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sugp1,1.35,5.16e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Nr2c2ap,-1.78,7.46e-02,1.13,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Homer3,1.74,5.83e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cers1,0.96,5.16e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Fkbp8,-0.63,5.49e-02,1.26,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Kcnn1,2.02,6.83e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Use1,1.9,5.84e-02,1.23,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dda1,-1.31,1.10e-02,1.96,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mvb12a,-2.38,3.09e-03,2.51,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Med26,5.77,2.87e-02,1.54,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Large,0.91,1.44e-02,1.84,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Abce1,-1.09,6.47e-02,1.19,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gipc1,-1.49,2.23e-02,1.65,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ddx39,3.52,6.75e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Samd1,-1.2,5.16e-02,1.29,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Dhps,-1.57,2.47e-02,1.61,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Orc6,3.19,9.69e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Papd5,1.63,2.74e-02,1.56,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Katnb1,-1.08,5.30e-02,1.28,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ces2b,-2.4,5.95e-02,1.23,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Rltpr,-1.3,1.98e-02,1.7,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Slc12a4,5.7,3.20e-02,1.49,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Dus2,4.6,8.00e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pla2g15,2.68,5.62e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Smpd3,1.41,9.44e-03,2.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cirh1a,1.64,8.96e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Phlpp2,2.16,8.30e-03,2.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Pdpr,1.85,7.31e-02,1.14,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem231,5.32,3.38e-02,1.47,standard.yoked vs. conflict.yoked,conflict.yoked
