"gene","logP"
"Acot13",-0.4
"Acot2",0.9
"Acot3",0.2
"Acot4",-0.6
"Acot5",0
"Acot6",0
"Acot7",-0.9
"Acot8",-0.5
"Acot9",0.4
"Acox1",0
"Acox3",-0.3
"Acoxl",0
"Acp1",0
"Acp2",-0.2
"Acp6",0.2
"Acp7",0
"Acpt",0
"Acr",0.2
"Acrbp",-0.2
"Acsbg1",0.2
"Acsbg2",0.1
"Acsf2",0.7
"Acsf3",0
"Acsl1",0
"Acsl3",0
"Acsl4",0.7
"Acsl5",0.3
"Acsl6",0.2
"Acsm2",0
"Acsm3",0
"Acsm4",0
"Acss1",0.2
"Acss2",0
"Acss3",0
"Acta1",-0.4
"Acta2",NA
"Actb",0.1
"Actg1",0.4
"Actl10",-1.4
"Actl6a",0.2
"Actl6b",-0.2
"Actl7a",0.1
"Actl7b",NA
"Actl9",-0.1
"Actn1",-0.2
"Actn2",-0.2
"Actn3",0
"Actn4",0.3
"Actr10",-1.3
"Actr1a",0
"Actr1b",0.2
"Actr2",-0.3
"Actr3",0.7
"Actr3b",-0.5
"Actr5",-0.8
"Actr6",-0.1
"Actr8",0.2
"Actrt3",-0.2
"Acvr1",0.3
"Acvr1b",-0.1
"Acvr1c",0
"Acvr2a",0.4
"Acvr2b",-0.2
"Acvrl1",0.2
"Acy1",0
"Acy3",0.4
"Acyp1",-1.1
"Acyp2",-0.9
"Ada",0.1
"Adad2",-0.1
"Adal",0.4
"Adam10",-0.1
"Adam11",-0.3
"Adam12",-0.1
"Adam15",-1
"Adam17",-0.1
"Adam18",-0.1
"Adam19",-0.2
"Adam1a",-0.9
"Adam1b",-0.4
"Adam21",0.2
"Adam22",-0.2
"Adam23",-0.3
"Adam26b",0.3
"Adam28",0.1
"Adam4",0.1
"Adam8",-0.2
"Adam9",0
"Adamts1",3
"Adamts10",-0.1
"Adamts13",-0.5
"Adamts14",-0.2
"Adamts15",0.4
"Adamts16",0
"Adamts17",-0.2
"Adamts18",-0.5
"Adamts19",-0.2
"Adamts2",-0.3
"Adamts20",1.1
"Adamts3",0.1
"Adamts4",2.1
"Adamts5",0.1
"Adamts6",0.2
"Adamts8",0.4
"Adamts9",0.7
"Adamtsl2",-1
"Adamtsl3",0.2
"Adamtsl4",0.4
"Adamtsl5",0.2
"Adap1",-0.6
"Adap2",-0.1
"Adar",0.5
"Adarb1",0.4
"Adarb2",0
"Adat1",-0.1
"Adat2",-0.2
"Adat3",-0.5
"Adck1",0.6
"Adck2",0
"Adck5",-0.5
"Adcy1",0.5
"Adcy10",-0.1
"Adcy2",1.3
"Adcy3",0.1
"Adcy4",0.1
"Adcy5",-0.5
"Adcy6",-1.3
"Adcy7",-0.4
"Adcy8",0.7
"Adcy9",1.1
"Adcyap1r1",0.2
"Add1",-0.1
"Add2",0.3
"Add3",0.2
"Adgra1",3.5
"Adgra2",0.6
"Adgra3",0
"Adgrb1",0.3
"Adgrb2",0.3
"Adgrb3",0.1
"Adgrd1",-0.3
"Adgre1",0.2
"Adgre5",-0.1
"Adgrf1",NA
"Adgrf2",0.3
"Adgrf3",0
"Adgrf4",0.2
"Adgrf5",1.6
"Adgrg1",0.2
"Adgrg2",0
"Adgrg3",0
"Adgrg4",0.1
"Adgrg6",0.1
"Adgrl1",0.1
"Adgrl2",-0.2
"Adgrl3",0.1
"Adgrl4",0.7
"Adgrv1",-0.1
"Adh5",-0.3
"Adh6b",-0.3
"Adhfe1",0.1
"Adi1",-0.3
"Adipor1",0.3
"Adipor2",1.8
"Adk",-0.3
"Adm",-0.2
"Adnp",0.3
"Adnp2",1.1
"Ado",-1
"Adora1",0
"Adora2a",0
"Adora2b",0.2
"Adora3",0.1
"Adpgk",0
"Adprh",-0.7
"Adprhl2",0.3
"Adprm",0.1
"Adra1a",0.1
"Adra1b",-0.3
"Adra1d",0
"Adra2a",0.3
"Adra2b",NA
"Adra2c",-0.3
"Adrb1",2.5
"Adrb2",0.2
"Adrb3",-0.1
"Adrbk1",0
"Adrbk2",0.3
"Adrm1",0.8
"Adsl",-0.2
"Adss",-0.4
"Adssl1",-0.2
"Adtrp",-0.2
"Aebp1",0.1
"Aebp2",0
"Aen",0.4
"Aes",-0.9
"AF366264",-0.3
"AF529169",0.2
"Afap1",1.2
"Afap1l1",0.1
"Afap1l2",0.3
"Aff1",1.1
"Aff2",0
"Aff3",0
"Aff4",1.1
"Afg3l1",-0.1
"Afg3l2",0.8
"Afmid",0
"Aftph",0.2
"Aga",-0.1
"Agap1",0.4
"Agap2",0
"Agap3",-0.6
"Agbl1",-0.1
"Agbl2",0.3
"Agbl3",-0.3
"Agbl4",-0.2
"Agbl5",-0.2
"Ager",-0.2
"Agfg1",0.2
"Agfg2",-0.5
"Aggf1",-0.1
"Agk",-0.1
"Agl",0.2
"Agmat",-0.2
"Agmo",0
"Ago1",-0.1
"Ago2",0.5
"Ago3",0
"Ago4",0.2
"Agpat1",-0.3
"Agpat2",-0.1
"Agpat3",0.1
"Agpat4",0.9
"Agpat5",0.3
"Agpat9",0
"Agps",0.1
"Agrn",-0.1
"Agrp",-0.7
"Agt",0
"Agtpbp1",0.1
"Agtr1a",0
"Agtr1b",-0.3
"Agtr2",0
"Agtrap",0.5
"Ahctf1",0.4
"Ahcy",0.2
"Ahcyl1",0.6
"Ahcyl2",0.1
"Ahdc1",-1.2
"Ahi1",-0.3
"Ahnak",1.6
"Ahr",2.9
"Ahrr",0
"Ahsa1",0
"Ahsa2",-0.4
"AI314180",0.2
"AI413582",-0.1
"AI429214",-0.1
"AI464131",0.3
"AI467606",-0.2
"AI481877",0
"AI593442",-0.5
"AI597479",-0.1
"AI606181",0.6
"AI607873",0.1
"AI661453",-0.2
"AI837181",-1.1
"AI846148",0.4
"AI854703",-1
"AI987944",-0.2
"Aicda",-0.1
"Aida",0.2
"Aif1",-0.3
"Aif1l",0.2
"Aifm1",0.1
"Aifm2",-0.2
"Aifm3",-0.5
"Aig1",0.2
"Aim1",-0.1
"Aim1l",0
"Aim2",-0.2
"Aimp1",-0.1
"Aimp2",-0.9
"Aip",-0.6
"Aipl1",0
"Aire",-0.2
"Ajap1",0.2
"Ajuba",-0.1
"AK010878",0
"Ak1",-0.2
"AK157302",-0.2
"Ak2",0.4
"Ak3",-0.5
"Ak4",-0.8
"Ak5",-0.5
"Ak6",-0.6
"Ak7",-0.3
"Ak8",-0.5
"Ak9",-0.7
"Akain1",-0.4
"Akap1",-0.2
"Akap10",-0.4
"Akap11",0.2
"Akap12",0.7
"Akap13",0.4
"Akap14",-0.1
"Akap17b",0.4
"Akap2",0.3
"Akap5",0
"Akap6",0.3
"Akap7",-0.3
"Akap8",-1.5
"Akap8l",-0.6
"Akap9",0.4
"Akip1",0.3
"Akirin1",1
"Akirin2",-0.6
"Akna",0.1
"Aknad1",-0.2
"Akp3",-0.2
"Akr1a1",-0.5
"Akr1b10",0
"Akr1b3",-1.5
"Akr1c14",0.1
"Akr1c19",-0.2
"Akr1c21",-0.1
"Akr1d1",-0.5
"Akr1e1",-0.2
"Akr7a5",-0.6
"Akt1",-0.5
"Akt1s1",0
"Akt2",0.2
"Akt3",0
"Aktip",0
"Alad",-0.2
"Alas1",0
"Alas2",0.2
"Alcam",-0.1
"Aldh16a1",0
"Aldh18a1",0
"Aldh1a1",0.6
"Aldh1a2",NA
"Aldh1a3",1
"Aldh1b1",-0.7
"Aldh1l1",0
"Aldh1l2",0
"Aldh2",-0.3
"Aldh3a2",0.1
"Aldh3b1",0.7
"Aldh3b2",-0.1
"Aldh4a1",0.4
"Aldh5a1",-0.8
"Aldh6a1",0.7
"Aldh7a1",0.1
"Aldh8a1",-0.8
"Aldh9a1",-0.3
"Aldoa",-0.4
"Aldoart2",-0.6
"Aldob",0
"Aldoc",0.1
"Alg1",-0.6
"Alg10b",-0.2
"Alg11",-0.9
"Alg12",0.3
"Alg13",0.7
"Alg14",-0.3
"Alg2",-0.3
"Alg3",-0.1
"Alg5",0
"Alg6",0
"Alg8",-0.2
"Alg9",0.1
"Alk",-0.1
"Alkbh1",0.3
"Alkbh2",-0.3
"Alkbh3",0.7
"Alkbh4",-0.4
"Alkbh5",-0.6
"Alkbh6",0
"Alkbh7",0.5
"Alkbh8",0.1
"Allc",-0.2
"Alms1",0
"Alox12",-0.3
"Alox12b",-0.6
"Alox12e",0
"Alox15",0.1
"Alox5ap",0
"Alox8",-0.6
"Aloxe3",0
"Alpk1",0
"Alpk3",0.5
"Alpl",-0.2
"Alppl2",0
"Als2",-0.1
"Als2cl",0.2
"Als2cr12",-0.3
"Alx4",0
"Alyref",0
"Alyref2",0.4
"Amacr",-0.1
"Ambra1",0.3
"Amd1",0.1
"Amd2",-0.7
"Amdhd2",-0.2
"Amer1",-0.7
"Amer2",0.7
"Amer3",-0.4
"Amfr",-0.1
"Amh",-0.6
"Amhr2",-0.1
"Amica1",0
"Amigo1",-0.2
"Amigo2",2.7
"Amigo3",0
"Ammecr1",-0.7
"Ammecr1l",-0.1
"Amn",-0.2
"Amn1",0
"Amot",0.4
"Amotl1",0.1
"Amotl2",0.3
"Ampd2",0.1
"Ampd3",0
"Amph",0
"Amt",-0.2
"Amy1",-0.5
"Amy2a2",-0.1
"Amy2a3",-0.1
"Amy2a4",-0.1
"Amy2a5",-0.2
"Amz1",0.1
"Amz2",-1
"Anapc1",0
"Anapc10",-0.2
"Anapc11",-0.4
"Anapc13",-0.3
"Anapc15",-0.1
"Anapc16",-0.2
"Anapc2",-0.1
"Anapc4",-0.1
"Anapc5",-0.1
"Anapc7",0.1
"Ang",-0.1
"Angel1",-0.6
"Angel2",0.2
"Angpt1",0.2
"Angpt2",0.5
"Angptl1",-0.1
"Angptl2",0.1
"Angptl4",0.1
"Angptl6",0
"Angptl7",-0.2
"Angptl8",-0.2
"Ank",0
"Ank1",-0.2
"Ank2",0
"Ank3",0.3
"Ankdd1a",0.6
"Ankdd1b",-0.1
"Ankef1",-0.1
"Ankfy1",0
"Ankhd1",0.1
"Ankib1",0.9
"Ankle1",-0.7
"Ankle2",0.1
"Ankmy1",0
"Ankmy2",-0.5
"Ankra2",0
"Ankrd10",-0.5
"Ankrd11",0.4
"Ankrd12",-1.2
"Ankrd13a",2.5
"Ankrd13b",-0.3
"Ankrd13c",1.3
"Ankrd13d",-0.3
"Ankrd16",0.1
"Ankrd17",0.1
"Ankrd2",-0.1
"Ankrd23",-0.5
"Ankrd24",-0.4
"Ankrd26",-0.2
"Ankrd27",-0.5
"Ankrd28",5.8
"Ankrd29",0
"Ankrd31",-0.1
"Ankrd33b",3.3
"Ankrd34a",-2.4
"Ankrd34b",-0.4
"Ankrd34c",0.1
"Ankrd35",0.2
"Ankrd37",0.3
"Ankrd39",-0.7
"Ankrd40",-0.5
"Ankrd42",0
"Ankrd44",-0.5
"Ankrd45",0
"Ankrd46",-1.1
"Ankrd49",-0.1
"Ankrd50",0.7
"Ankrd52",-0.7
"Ankrd53",-0.1
"Ankrd54",-0.2
"Ankrd55",-0.5
"Ankrd6",-0.2
"Ankrd61",-0.3
"Ankrd63",-0.8
"Ankrd7",0
"Ankrd9",0.2
"Anks1",-0.1
"Anks1b",-0.1
"Anks3",-0.6
"Anks4b",-0.3
"Anks6",-0.2
"Ankub1",-0.1
"Ankzf1",-1.5
"Anln",-0.1
"Ano1",-0.1
"Ano10",0
"Ano2",-0.2
"Ano3",0.5
"Ano4",-0.3
"Ano5",-0.2
"Ano6",0.2
"Ano8",-0.7
"Anp32a",-0.3
"Anp32b",-0.1
"Anp32e",0.1
"Anpep",-0.1
"Antxr1",-0.1
"Antxr2",-0.2
"Anxa1",0
"Anxa11",-0.9
"Anxa2",0.1
"Anxa3",0.3
"Anxa4",-0.1
"Anxa5",0.3
"Anxa6",0
"Anxa7",-0.4
"Anxa9",-0.2
"Aoah",-0.3
"Aoc2",0.5
"Aoc3",0.2
"Aox1",1.3
"Aox3",-0.2
"Aox4",-0.1
"Ap1ar",-1.8
"Ap1b1",-0.7
"Ap1g1",0.4
"Ap1g2",-0.4
"Ap1m1",-0.1
"Ap1m2",0
"Ap1s1",-0.6
"Ap1s2",0.4
"Ap1s3",0.5
"Ap2a1",0.1
"Ap2a2",-0.1
"Ap2b1",0.2
"Ap2m1",-0.4
"Ap2s1",-0.9
"Ap3b1",0.1
"Ap3b2",-1
"Ap3d1",0.5
"Ap3m1",-0.2
"Ap3m2",-0.3
"Ap3s1",-0.7
"Ap3s2",0
"Ap4b1",0
"Ap4e1",0.1
"Ap4m1",0.3
"Ap4s1",-0.7
"Ap5b1",0.8
"Ap5m1",-1.1
"Ap5s1",-0.3
"Ap5z1",-0.5
"Apaf1",2.3
"Apba1",0
"Apba2",0.1
"Apba3",-0.9
"Apbb1",-0.3
"Apbb1ip",-0.5
"Apbb2",0.2
"Apc",0.4
"Apc2",-0.9
"Apcdd1",-0.1
"Apeh",-0.4
"Apex1",-0.3
"Apex2",0.3
"Aph1a",-0.2
"Aph1b",-0.4
"Aph1c",0
"Api5",0.3
"Apip",0
"Apitd1",-0.1
"Aplf",0.4
"Apln",-0.8
"Aplnr",0
"Aplp1",0.1
"Aplp2",0.4
"Apmap",0.4
"Apoa1bp",0.1
"Apoa2",0
"Apobec1",-0.1
"Apobec2",0
"Apobec3",0
"Apobec4",0.1
"Apobr",0
"Apod",1.1
